book_id,title,authors,description,image,isbn,language
"17cAAuO44dUC""","""The Origin of Civilisation and the Primitive Condion of Man""","{"Sir John Lubbock"}","""No Description""","""http://books.google.com/books/content?id=17cAAuO44dUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""HARVARD:32044005007117""","""en"
"1CfOBQAAQBAJ""","""Vitamin D""","{"Adrian F. Gombart"}","""Vitamin D insufficiency/deficiency is a worldwide, public health problem in both developed and developing countries. Rickets among infants has reemerged. Low levels of vitamin D are associated with increased risk and mortality from cancer. At the same time, the beneficial effects of vitamin D on a host of conditions have recently been discovered. F""","""http://books.google.com/books/content?id=1CfOBQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781439850213""","""en"
"1dZoDwAAQBAJ""","""JAY-Z""","{"Vanessa Oswald"}","""Shawn Corey Carter, known to most of the world as JAY-Z, has made a name for himself as one of the most successful artists in hip-hop. Not only has he achieved this success with rapping, but also as an entrepreneur. Having grown up in a housing project in Brooklyn, his story is a tale of struggles and successes. Engaging main text, full-color photographs, and a detailed timeline give readers an inside look into this rap star's exciting life. Annotated quotes from JAY-Z and others provide first-person perspectives on his rise to the top of the worlds of hip-hop and business.""","""http://books.google.com/books/content?id=1dZoDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781534563353""","""en"
"1EV12S4PnUIC""","""I'm Not Stressed""","{"Deanne Panday"}","""Are you stressed? The workplace has become increasingly competitive, family life has its never-ending complications, and when you step outside, you have to deal with heavy traffic, aggression, and massive pollution. No wonder that you’re tense and agitated, have hyper reflexes and blood pressure that’s higher than the midday sun. But you’re not alone. Fifty percent of Indian professionals suffer from stress with stress-related diseases from depression to lack of fertility drastically on the rise. In I’m Not Stressed, Deanne Panday, one of the country’s leading health and fitness experts, shares with you her secrets to tackle this looming lifestyle problem. She tells you what stress really means, how to know when you have a serious case of it, and most importantly how to deal with it through a simple plan of diet, exercise, sleep, meditation, and breathing. With advice from leading psychiatrists, cardiologists, endocrinologists, and celebrities who have to deal with high-level stress, I’m Not Stressed is your mantra for enduring health and happiness.""","""http://books.google.com/books/content?id=1EV12S4PnUIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9788184002287""","""en"
"1lVMAQAAMAAJ""","""Report and Student Record, 1893-1903""","{"University of Illinois (Urbana-Champaign campus). Library School"}","""No Description""","""http://books.google.com/books/content?id=1lVMAQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""UIUC:30112018564762""","""en"
"1Vb86gbTzfUC""","""Regulators of G Protein Signaling, Part A""","""{}""","""Regulators of G Protein Signaling, Part A is an in-depth treatment of G-Protein Signaling, and will cover general methods of analysis of RGS protein analysis, including Expression and post-translational modification, Assays of GAP activity and allosteric control, Electrophysiological methods and RGS-insensitive Ga subunits, Mouse models of RGS protein action, Methods of RGS protein inhibition, and G-protein regulators of model organisms. - Table of Contents - Expression and post-translational modification - Assays of GAP activity and allosteric control - Electrophysiological methods and RGS-insenstitive Ga subunits - Mouse Models of RGS protein action - Methods of RGS protein inhibition - G-protein regulators of model organisms""","""http://books.google.com/books/content?id=1Vb86gbTzfUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9780080497266""","""en"
"1VSZEAAAQBAJ""","""What Roe V. Wade Should Have Said""","{"Jack M. Balkin"}","""Taking positions both for and against the constitutional right to abortion, the contributors offer novel and illuminating arguments that get to the heart of this fascinating case. In addition, Jack Balkin gives a detailed introduction to Roe v. Wade, chronicling the history of the Roe litigation, the constitutional and political clashes that followed it, and the state of abortion rights in the U.S. today""--""","""http://books.google.com/books/content?id=1VSZEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9781479824489""","""en"
"22hODwAAQBAJ""","""The Greatest Tales of Fred M. White: 200+ Short Stories & 60+ Crime Novels (Illustrated Edition)""","{"Fred M. White"}","""This carefully edited collection has been designed and formatted to the highest digital standards and adjusted for readability on all devices. Contents: By Order of the League The Midnight Guest A Fatal Dose The Island of Shadows The Crimson Blind Tregarthen's Wife Blackmail The Weight of the Crown A Shadowed Love My Lady Bountiful A Golden Argosy The Cardinal Moth The Corner House The Ends of Justice The House of Schemers The Lord of the Manor The Slave of Silence The Yellow Face The Nether Millstone The Five Knots The Edge of the Sword The Lonely Bride Craven Fortune The Law of the Land The Mystery of the Four Fingers The Sundial Netta A Queen of the Stage The Scales of Justice A Crime on Canvas The Golden Rose Paul Quentin A Front of Brass Hard Pressed The White Glove A Mummer's Throne The Secret of the Sands The Man Called Gilray The House of Mammon A Royal Wrong A Secret Service The Sentence of the Court Powers of Darkness The Mystery of the Ravenspurs The Day Ambition's Slave The Seed of Empire The Salt of the Earth The Lady in Blue The Case for the Crown The Wings of Victory The Leopard's Spots The Honour of His House The Man who was Two The Mystery of Room 75 The Councillors of Falconhoe The Master Criminal (True Crime Tales) The Doom of London The Gipsy Tales The Real Drama The Romance of the Secret Service Fund The Adventures of Drenton Denn… Frederick White (1859–1935), mostly known for mysteries, is considered also as one of the pioneers of the spy story.""","""http://books.google.com/books/content?id=22hODwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""9788027222483""","""en"
"23oOAQAAMAAJ""","""The Cambrian""","""{}""","""No Description""","""http://books.google.com/books/content?id=23oOAQAAMAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""WISC:89077220697""","""en"
"24LU95fZGx0C""","""Supplement to Hain's Repertorium Bibliographicum: Nearly 7000 corrections of and additions to the collations of works described by Hain. 1895""","{"Walter Arthur Copinger"}","""No Description""","""http://books.google.com/books/content?id=24LU95fZGx0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api""","""CUB:P203122914001""","""en"
